reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
ADYZOSTF9LZLD,B004N64GH0,"ShawnaLanne ""BookWog""","[2, 4]","This is the second of three vacuums I've had this year. The first one, another bag-less could not take  cat  and kid crud ,and died within six months. I bought this because it had decent reviews and since I am so hard on vacuums I didn't really want to spend money. Bad mistake. It picked up basic particles but didn't actually pull the dirt out of the floor. How do I know this? Well, being very unhappy with this purchase when I was offered a bagged vacuum, regular size, I went for it. Minus the random stains, I have not seen my carpet this clean since I moved in.I used this for a couple of weeks. The suction doesn't work well and the wheels don't turn well. Don't buy this. I am giving it to my single childless brother who just threw out his old vacuum, something is better than nothing. But this is close to nothing.",1.0,This doesn&#8217;t suck; which isn't good for a vacuum,1362009600,"02 28, 2013"
A2MQIJOF149USV,B00DD0ZRX4,Amazon Customer,"[6, 7]",Thought this would be great but it's bulky and cracked easily. Lasted even less than my previous one. I just went back to the regular shaker bottles because those seem to be more sturdy.,1.0,Meh,1390003200,"01 18, 2014"
A1NJHKPHD4YWZV,B002X79XY2,Brian,"[0, 0]",These pillow shams are hard as a rock - I hope you don't plan to put your head or face on them.,1.0,hard as a rock,1345075200,"08 16, 2012"
A12JSNWPJQ99NK,B001F51AMQ,fjmrozek,"[1, 2]","Thought it would be heavier, like back in the '70's college days.  This is like a basic &#34;pillow case&#34; but with a draw string.  Not worth the money.",1.0,Not Worth It,1389312000,"01 10, 2014"
A1TZ6M7V1ONH7V,B000FTPFWO,"brownil ""brownil""","[16, 30]","The 'Power of Suggestion' and extensive marketing can convince people of almost anything.  These things have been proven in test after test to be all but worthless.  This has also been shown in court.  Try any Google search hit and prove it to yourself.  The latest quote from Consumers Union (Consumers Reports) ""The bottom line: The Sharper Image Ionic Breeze Professional with OzoneGuard does little to clean the air. If you own one, try returning it for a refund.""Instead, buy any decent AC filter for $15 and change it once a month.",1.0,basically Worthless,1151625600,"06 30, 2006"
A36LK8CP3ZC7JA,B0000CF3Q6,LR,"[9, 27]","There IS a steel counterpart! Note that coffee is a strong acid, and thus the Al binds to it (like rhubarb). Using these is almost certainly very very bad for you (although not yet proven). Please do not buy these aluminum pots! Spend $10-15 more. I have a Bialetti Musa and I love it (although I use my Toddy T2N more)Bialetti Musa: [...]Bialetti ""Percolator"": [...]",1.0,Aluminum toxicity,1305676800,"05 18, 2011"
AMGX9DJU7SUN5,B005MMN75G,RNBSN725,"[2, 8]","Save yourself sometime and buy a product that actually works.  This heater does not heat up any room.  I tried it in my living room and we tried it in different bedrooms and it still doesnt heat up anything.  You only feel the heat when you stand right in front of the heater other than that, you cant feel any heat in the room.  I read all the reviews before purchasing thinking it will work but it turned out to be useless.  I returned it and got my refund.",1.0,Useless Heater,1355270400,"12 12, 2012"
AS0OSBKE2OVX8,B0032JRVAI,TalkerCat,"[5, 7]","I bake a lot - for both my family,  and church potlucks (fund raisers, etc.)  I got these pans to replace a set I'd used for 15 years (or longer).The first time I used my new pans, they were terrific!  I hand washed and dried,  then stored them with a paper towel in between to prevent damage.The SECOND time, the entire bottom of the cake stuck and had to be soaked off.  .The THIRD time, I added EXTRA oil and flour to the bottom and sides of the pans.  The cake STILL STUCK!  This time, my donation to a fundraiser had to quickly be swapped out for store bought cupcakes.I thought 'Wilton' was a reputable brand - it's been around a long time.  Unfortunately for me, it does not live up to what I'd expected from ""professional grade"" baking pans.",1.0,I HATE THESE PANS AND THREW THEM AWAY!,1371859200,"06 22, 2013"
A1XAD51HUZ8UM2,B00024JR4E,KarenW,"[13, 15]",I thought I'd try these pant hangers because the weren't as expensive as the others I bought that I loved. Well you really get what you pay for. These are very poorly made. The rubber was falling off the hanger before I could get them hung up. I am so disappointed. So that is my option and just giving a warning.,1.0,Pant Hangers,1344902400,"08 14, 2012"
A2TTOA1OCMVTME,B003CZ6U1I,Tami J. Abbott,"[0, 0]","Had a really hard time finding a squeegee that wasn't black--so shower doesn't get marked up.  Finally found this one, and thought it would be great.  I hate this squeegee!  Only removes about half the water from my shower doors and walls.  Handle is difficult to hold onto--especially if you get any soap on your hands.  Back to shopping to try to find one that works well!",1.0,Disappointing purchase,1393977600,"03 5, 2014"
A146H3IZ7RS8MK,B000VZ5G9E,Z. Rezk,"[0, 0]","Got these bowls and used them today for the first time, quality is very poor, in my set lids do not fit, so these become useless to keep food in the fridge that was the purpose to get them.Didn't like them !!!!  I was expecting to receive top quality from a product under the KitchenAid brand.",1.0,POOR QUALITY !!!,1341273600,"07 3, 2012"
A1CAV04FHPR4ZX,B004FLK0HI,"J. loeffler ""shagster69""","[10, 13]",Made snow from ice great and made one smoothie a total of three full uses and DEAD!  The motor doesnt have a cooling fan and it resemble the motor from a toy I once had. Save your  moneyand buy a full sized blender.it was a big upset after doing so well. Im surprised all the reviews are so good and no one has come forward to complain about the weak and poor quality on this product. Maybe the reviews were written by the as seen on tv folks. It makes ya think.,1.0,Great blade with toy motor!,1324598400,"12 23, 2011"
AAWXL12IG75OS,B00009WE45,"Mikenwa ""mikenwa""","[3, 3]","After a few months of use the display developed a black area that hides a segment of the numbers. I must now guess at what the number is, making it almost unusable. I had always been careful not to get any liquid in it, has not been dropped or subjected to any extreme heat or cold. I was also expecting a much quicker response from this unit. I have owned a similar unit of this same brand for a few years but thought this would be a step up, I was wrong.",1.0,Short usable life,1325376000,"01 1, 2012"
A2JJBHI92VTROD,B001F6PBKM,"Amazon Customer ""linden""","[6, 6]",We used this bag for the first time today for a small grocery shopping on a mile walk.  It already has two holes torn in the bag near the bottom.  Deeply disappointing.,1.0,Tore after the first use,1251849600,"09 2, 2009"
A3A9IBYV6IG1A7,B007HQ0LKY,Fl_Beachcomber,"[19, 26]","I purchased this to top my mattress at my beach house.  After thoroughly allowing this monstrosity to &#34;vent&#34; for 48 hours OUTSIDE, late this afternoon my wife and I finally installed it on our king-size bed in our upstairs bedroom.  Eight hours later I have hauled it back outside and intend throwing it away as soon as the sun rises.  AMAZON SHOULD NOT ALLOW THIS PRODUCT TO BE SOLD ON ITS SITE.  I read many of the posted reviews--regrettably not until after I had placed my order for this thing--about the God-awful smell that many customers encountered, and I hoped they had been exaggerating...unfortunately, they were not.Now my bedroom and most of my entire home smells like a toxic waste dump!  It's a chemical smell, sort of like formaldehyde, and I cannot imagine that it wouldn't be unhealthy.  My eyes and throat are burning as I write this review, and I won't even touch this darn thing to try to cram it back into the box to return it for a refund.  I have opened all of my windows in an effort to air this place out (it's 1:30 AM) and changed the bed linens, but I don't think I will be sleeping at all tonight.  The people who make and sell this foam mattress topper should be ASHAMED of themselves!  I can unequivocally state that it is the absolute WORST product I have ever bought on Amazon, and anyone who purchases this is going to be terribly disappointed.  Don't make the same mistake I did.",1.0,DO NOT BUY THIS PRODUCT!,1377907200,"08 31, 2013"
A35H1MCWRMY3JB,B002U9JSIE,ttraveler,"[1, 1]",Product arrived promptly.  It is NOT heat resistant.  I used it to syphon off hot bacon grease and the end melted almost totally shut.  don't waste your money.  Would not recommend this to anyone.,1.0,Poor Product,1388102400,"12 27, 2013"
A3VWGPUMJMVD1I,B008HD2D5M,mellion108,"[1, 2]","I thought that this was a really cool idea... a plunger that water just beads off of and I don't have to worry about immediately after using.  This is actually true and works just as advertised, however plunger design is not really a cutting edge technology so it is beyond ridiculous that rubbermaid has decided to go away from the standard technology that creates suction and instead just has a cup which doesn't form a seal within a toilet or any other curved surface.  A plunger that doesn't create suction, doesn't actually plunge no matter how cool the beading technology is.  Take a pass on this until they actually use a standard design that works.",1.0,A Plunger that doesn't plunge really ain't a plunger,1348704000,"09 27, 2012"
A3H8PVQG3IW4JU,B001G8Y3QM,Sho Uesugi,"[5, 7]","1. Product feels very cheap and parts are too loose, ill fitting.2. Creates an enormous amount of smoke due to the fat burning as it does not drip off properly, which is in turn due to the poor excuse of a ""non-stick"" surface. The surface is in fact really nothing like the old Foreman grills which I found used to work great.3. Extremely hard to clean on DAY 1. The dirt comes off but it's by no means fast or easy.4. Unit takes too long to heat up and then way too long to cool off.I've bough tons of these over the years and I've been relatively pleased. This version of this grill purchased in July of 2012 is not worth the price.",1.0,Bought it - Returning it,1342483200,"07 17, 2012"
AE0WN88TLIGRZ,B0001BMZ38,"Peter O. Jackson ""fussy shopper""","[42, 56]","I purchased the Bron to replace my old Boerner V-slicer.  I expected wonders given the stiff price I paid (not at Amazon.com).  Instead the first tomato I tried to slice wound up as one crude chunk of mush and the tomato was bent out of shape because of the force I needed to shove the guard across the blade.  I switched to my old Boerner V and sliced up all the tomatos needed for the picnic.  Then this morning I tried again using the Bron with the safety handle from the Boerner V and the same thing happened.  I wiped the mush off the slicer and counter and got my Forstner diamond knife sharpening steel.  After many strokes I again tried to slice the tomato.  Again I couldn't shove it across the blade.  I was able to make slices by moving the tomato up and down as I sliced, but when I got to the last slice it was too limp for the pressure needed with the  Bron.  If I had it to do over I would just get another Boerner V, and save my money.  I can get about 4 of them for the price of a Bron.  All the other stuff that are built onto the Bron might be useful but if they aren't sharp either, I doubt it.  They make it so big and clumsey, and the adjusters are difficult to set just to get them out of the way.  I wound-up with tomato skin and mush trapped in the teeth of the lower blade.",1.0,Dull and Clumsey,1252281600,"09 7, 2009"
AJ7HPLHB2A5M0,B002HFDLCK,"PugLuvr ""Theresa""","[0, 0]","I have had this vacuum for about a year.  Within the first month I had it, I accidentally ran over the cord while vacuuming, and it ate through the cord!  Never seen anything like that happen before...  the cord had to be cut and spliced back together.  Since then, the belt that runs the brush has broken 3 times, and falls off continuously.  Nearly every time I use it, I end up having to turn it upside down, remove the bottom cover, and replace the slipped belt.  Very annoying.  As far as how it works, it's fine.  It picks up the dirt and pet hair when the belt is intact.  I would not buy this vacuum again.Update 5/30/2012:  This vacuum got so hot on the bottom it actually melted my rug!  To the dump it goes....",1.0,Eats belts and melts rugs,1337126400,"05 16, 2012"
A2507ZYWGMY9BK,B0000VLWPG,Gcat,"[30, 37]","I guess misters are hard to make because most of the ones I have bought in my life don't work out of the box or die shortly after.This one didn't even work out of the box. There was no mist, just air. Oh well, I figured I was taking my chances anyway. If you buy this, hopefully you have better luck.Update: Nowadays, most grocery stores sell pre-loaded, pressurized, non-refillable spray canisters of olive or canola oil such asPam Olive Oil Cooking Spray. It's like a can of bug spray or Lysol except it sprays oil. I have found that these work perfectly and last a surprisingly long time.",1.0,Try pre-loaded oil sprayers instead,1120348800,"07 3, 2005"
A29FYLSIHBMFCR,B00013KAG0,"SJD ""SJD""","[1, 1]","I am unhappy with this product, it's not a sturdy and it falls backward when you put anything that weighs more than a lb. on it. I wouldnt recommend this for heavy items",1.0,flimsy,1355702400,"12 17, 2012"
A3F4C35NJBFCRE,B000JRGBTS,D. Vick,"[0, 0]",Could not hear the alarm on this joke of a timer unless I held it up to my ear.  Then it was very soft.  This is a classic example of junk from China.,1.0,Zero stars rating not available,1327795200,"01 29, 2012"
A7I11DZ6BIQVV,B0017HQONC,"Linda  Ely ""notmeme1""","[1, 1]",They are NOT sturdy enough to grip a large piece of meat; they are NOT the size described (they are shorter); and the edges are very rough.,1.0,Would not recommend these to anyone...,1396051200,"03 29, 2014"
A2I07S129HT0PY,B0027IQOSU,Teresa,"[0, 0]","I've been cooking for nearly 30 years and I've never run into a pot that can burn nearly anything like this one does.  In my lifetime, I can count on one hand the number of meals that have been ruined by burning prior to getting this pot, none of them were broth-based soup!  In this pot, I have cooked 2 things, chili and cabbage soup.  I burned the first batch of chili, so I tried again on a lower temperature and watched it more carefully - again, it burned and had to be thrown out.  Okay, so I figured I would use the pot for cabbage soup, that's mostly water, how could it burn?  No clue, but it did.  In any other pot I could have cooked that soup on high heat until the water was nearly gone and not had it burn, but in this pot it managed to burn on med-low heat in short order.  I'm 3/3 with this pot and I give up.  I'm afraid to even use it to just boil water for fear it would burn it!Nope, this pot is going back to the store.  I've wasted too much time and too much food trying to get it to not burn things.",1.0,Will be returning it!,1314921600,"09 2, 2011"
A2UI9FB82YAKRI,B00996AR6S,"zax031 ""zax031""","[0, 0]",Thought I'd save some money on these pots which looked good and had some decent reviews.  Arrived with cheap handle broken off and many small dents.  Returned for refund.  This is garbage. The highly positive reviews must be from the seller himself.,1.0,You get what you pay for,1376611200,"08 16, 2013"
A3PUW7BDEDPSNM,B00009WE4M,"S. Bennett ""heysu""","[1, 1]","I bought this and the stainless steel one from another company.  Although this one seemed to seal better initially, within an hour, it had lost the seal (no air escaped when released).  The stainless steel one works well.",1.0,Not a good seal,1261180800,"12 19, 2009"
A1NYV9VFD7H0I7,B000QFDNP8,methylamine,"[27, 30]",I bought two of these (one for my wife and I) to take my morning coffee to and from home/work. The mug worked wonderfully for the first 6 months or so but then I noticed one morning that it began leaking from the mouth spout. The red rubber seal wasn't closing tightly around the mouth spout and so a leak formed. Now I can't tip the mug or lean it over because of the leak. The other mug is still performing great with no leaks. I have to give this 1 star because a mug at this price range shouldn't develop a leak so soon. The mugs were always hand washed and cared for per manufacturers instructions. Will not buy this product again.Update: The second mug had the mouth spout go bad as well. Stay Away from this craptastic mug. I sent a letter to contigo asking them to replace the mugs and they never replied. Bad customer service all around.,1.0,Mouth Spout Leaks Over Time,1270598400,"04 7, 2010"
A1CO8OH9ER687C,B000A790X6,Chris,"[4, 4]","There aren't any really good-looking electric kettles available on the market that I'm aware of. This seemed like the least bad one, and seemed okay if underwhelming. I've used another one before, and knew I disliked the placement of the water level behind the handle so that it's hard to see what the level is -- very stupid design. But it seemed better than other ones anyway. After ordering it and using it for a while, I've noticed that the spout is glued on rather than welded on. This is unbelievably crappy, as anyone with any sense knows perfectly well. Gluing metal to metal is infantile rubbish; clearly metal should be welded, and they're selling this thing for eighty bucks, not eight. Totally unacceptable, total garbage. Every time you pour boiling water from this thing, the poisonous toxins from the adhesive are melting into the water. Anyone with a brain will have to look elsewhere, regardless of the convenience factor. If nobody is going to manufacture a decent quality electric kettle, let's just use a real kettle instead. It's not that hard after all.",1.0,"Very disappointing, toxic and unprofessional construction",1396396800,"04 2, 2014"
A2UCB92JD134SO,B001N3GKKM,D. Purciel,"[4, 4]","I've been looking for the right infuser for some time. It's clear this is not it. Glass is so thin and fragile the item arrived broken during shipping. Packaging wasn't bad at all it just couldn't handle the shipping process. Everything about it from the lid to the bowl to the spout is super thin. The slightest bump or even a strong cleaning would chip or break this. Even if this arrived in one piece It wouldn't last a month of use, and a month is a long shot.  Looks nice but I'm going to invest my money in something I can use.",1.0,Way too fragile. Will never last everyday use. Arrived broken!,1328918400,"02 11, 2012"
A2FLH5F9I7LSNY,B00008VSCO,Cat West,"[7, 8]","I drink a lot of iced tea and used this every day. You pour in the water, put the tea (loose or bags) in the filter tray.  Turn on and forget.HOWEVER it began leaking water after a little more than 6 months of use. I can't see where it's leaking from. It makes a real mess every time. I thought I'd have to buy a new one BUT I read in one of these reviews that a regular (cheap) electric coffee maker does a fine job. You probably have one around. I use my old Braun, which uses Melita filters. I use the same amount of tea leaves I did in the Hamilton. It makes 10 cups, which I pour into a 2 quart pitcher and add extra water to fill the pitcher to the top. I usually let the tea cool to room temperature and then I pour the tea over ice (or into a pitcher of ice) and have exactly what this leaky Hamilton product produces. After A-B testing of the two devices I conclude there is no difference in the tea produced.Most of these iced tea makers have negative comments that after about a year they start leaking. I've never heard of an electric coffee pot leaking. And you can always wash out the coffee maker and make coffee in it, too. One less kitchen appliance.",1.0,Don't waste your money on this product--make tea in an electric coffee maker,1332979200,"03 29, 2012"
A2Z9LF1OVFZ4BV,B0014IDZOU,FSM,"[0, 0]","Following the instructions, fan was easy to assemble and works as expected. 3 settings (high, med, low) and and option for oscillating fan head. No need to waste money on anything fancy when this fan works just fine!UPDATE- After about 2 months, the fan has become VERY NOISY! The fan blades make a cotinuous loud clicking noise as they spin, and there doesn't seem to be any particular culprit besides the junk quality of the fan. I can no longer use this product now and will be looking for a better quality fan.",1.0,Very noisy,1371340800,"06 16, 2013"
A2YL3NB74W4T6Z,B001AYWV52,"R. Christopher ""rc62480""","[1, 3]","I just got these in the mail.  Though I haven't tried them yet, it is clearly a used product.  The box is heavily bent, looks aged, and the product was not sealed.  I don't have a problem with used merchandise if that's what I'm buying, but these were listed as new.  If I had wanted them used, I would have bought them used.",1.0,Clearly used merchandise - really awful item listing description,1286409600,"10 7, 2010"
AU5UN7089LZ02,B000Q4I9LM,L. Belland,"[0, 0]","I have had two of these - each lasted about eight months, than the block split.  Its cool, but not a practical product until they re-engineer it.  I did not over stuff it.",1.0,block split,1322179200,"11 25, 2011"
AWNJAY0M5UI70,B001F51ANU,ANK2,"[0, 1]","I was very happy with it first, but unfortunately it didn't last a month! the sewing quality isn't that good at all! we barely used 4-5 times! we filled it I would say 75% may be 5% +/- but I had cheaper ones that lasted longer.",1.0,Cheap!,1369785600,"05 29, 2013"
A2EI67N0E4XV40,B0054G88HC,labwiz,"[0, 0]","I bought these at a homeshow. They may have different names and brands but they all boil down to being made cheaply in China with different names slapped on the packages. I have no idea why so many people give great comments about these sheets. They are very reasonable priced alright but the quality absolutely sucks! So if you are going for something economical, yes go for them. Don't dream about 1500 thread count. That's pure lie!",1.0,You get what you paid for! Not cotton,1365811200,"04 13, 2013"
A1116JC9NIIGQJ,B0093MRWJS,"Joyce Weaver ""Chevymom53""","[4, 13]","I made a pork roast this Xmas Eve, it took forever and when I lifted the lid i touched the cover and OMG burnt three fingers with blisters, plus when I lifted the lid there was so much water from the lid it soaked my meat. I was so disappointed, never had a pork roast not turn out. I am taking back to the store. I like putting stuff in the dishwasher and when I read wash by hard I thought what the heck, then when I burnt my fingers I couldn't believe it, my glass tops do not get that hot and all the water from the lid was crazy. I have never had a roast not turn out. For what they charge for this, I don't think its worth it. GE makes one you can also brown on the stove in the crock part. Please be careful with the lid, I mean that sucker was hot. Surprised the crap out of me, nothing like being in pain Xmas Eve and not having your pork roast not turn out. I had 20 people over.",1.0,Not dishwasher safe and OMG the lid gets Hot !!!!!!!!!!!!!!!!!,1388016000,"12 26, 2013"
A324BA4T1V8XKE,B000JUTCEQ,Valarie,"[0, 0]","Had to return these due to the lids not fitting correctly (they wouldn't ""seal"" when screwed down - kept slipping off).",1.0,Defective,1356652800,"12 28, 2012"
A1OKVV9AM2WXZI,B001CDLL7K,Cynthia Brokenshire,"[4, 5]",I purchased this item at Bed Bath and Beyond.  In the past I have purchased egg slicers and after a couple of the months the wires broke.  I bought a Cuisnart egg slicer and the wires broke.  I decided to buy another and thought the OXO brand would work well since I have other kitchen gadgets made by them but I was incorrect.  I purchased the egg slicer just yesterday and tested it out without anything in it and guess what 2 wires snapped.  I wish someone out there made egg slicers with blades.  I have gone through about 4-5 egg slicers in the past 7 years; this may seem like a long time but I did not buy an egg slicer right after I broke it since I am so frustrated with the quality of egg slicers.  Going to return it and continue looking for an egg slicer online since almost all stores carry ones with wires.,1.0,Broke Already,1275177600,"05 30, 2010"
A1WEH2YVC82XSP,B005Z48XZ0,Spin For America,"[7, 11]","The entire reason I bought a Frieling french press is because it is stainless steel...with NO plastic!  They only recently have found the BPA's and in my opinion using a coffee maker that runs HOT water through plastic can only be worse. This coffee maker is by far the safest one to use.  But to offer this item with plastic is absurd, and I cannot recommend its use.",1.0,Plastic parts....in a Frieling??,1351382400,"10 28, 2012"
